url_len,url_dep,httpDomain,tinyURL,hyphenURL,subURl,keyWordURL,dns,domainAge,domainEnd,iframe,forwarding,label
49,0,1,0,1,1,0,1,1,1,0,0,1
96,2,1,0,0,1,0,1,1,1,1,0,1
33,0,0,0,0,1,0,1,1,1,1,0,1
29,0,0,0,0,0,0,1,1,1,1,0,1
26,0,0,0,1,0,0,1,1,1,0,0,1
175,5,1,0,0,1,0,1,1,1,0,0,1
43,0,1,0,0,1,0,1,1,1,0,0,1
85,0,1,0,1,1,0,1,1,1,1,0,1
34,0,1,0,1,1,0,1,1,1,0,0,1
36,0,1,0,0,1,0,1,1,1,1,0,1
73,0,1,0,0,1,0,1,1,1,0,0,1
45,3,1,0,0,1,0,1,1,1,1,1,1
43,0,1,0,0,1,0,1,1,1,1,0,1
34,0,1,0,1,1,0,1,1,1,0,0,1
36,2,1,0,0,1,0,1,1,1,0,0,1
92,2,1,0,1,1,0,1,1,1,1,0,1
95,3,1,0,1,2,0,1,1,1,0,0,1
33,1,1,0,0,1,1,1,1,1,0,0,1
29,2,1,0,0,1,0,1,1,1,1,0,1
84,0,1,0,1,0,0,1,1,1,1,0,1
88,0,1,0,0,0,0,1,1,1,0,0,1
38,0,1,0,0,1,0,1,1,1,0,0,1
33,0,0,0,0,1,0,1,1,1,1,0,1
36,0,1,0,0,0,0,1,1,1,0,0,1
80,2,1,0,0,1,0,1,1,1,0,0,1
36,0,1,0,0,1,0,1,1,1,1,0,1
190,1,1,0,0,1,1,1,1,1,0,0,1
35,0,0,0,0,1,0,1,1,1,1,1,1
32,1,1,0,0,1,0,1,1,1,1,0,1
26,0,0,0,0,0,0,1,1,1,1,0,1
96,2,1,0,0,1,0,1,1,1,1,0,1
97,2,1,0,0,1,0,1,1,1,0,0,1
25,0,0,0,1,0,0,1,1,1,1,0,1
35,0,1,0,1,1,0,1,1,1,0,0,1
24,1,1,0,0,1,0,1,1,1,1,0,1
35,0,1,0,1,1,0,1,1,1,0,0,1
175,5,1,0,0,1,0,1,1,1,0,0,1
24,1,1,0,0,1,0,1,1,1,0,0,1
42,2,1,0,0,1,0,1,1,1,0,0,1
84,0,1,0,1,0,0,1,1,1,0,0,1
28,0,1,0,0,1,0,1,1,1,1,0,1
105,2,1,0,0,1,0,1,1,1,1,0,1
23,0,0,0,1,0,0,1,1,1,1,0,1
85,0,1,0,1,1,0,1,1,1,1,0,1
24,1,1,0,0,1,0,1,1,1,1,1,1
38,0,1,0,0,1,0,1,1,1,1,0,1
76,1,1,0,1,1,0,1,1,1,1,0,1
38,0,1,0,0,0,0,1,1,1,1,0,1
111,1,1,0,1,3,0,1,1,1,1,0,1
43,0,1,0,1,1,1,1,1,1,0,0,1
34,0,1,0,1,1,0,1,1,1,0,0,1
85,0,1,0,1,1,0,1,1,1,1,0,1
44,3,1,0,0,2,0,1,1,1,0,0,1
67,1,1,0,1,2,0,1,1,1,0,0,1
33,0,0,0,0,1,1,1,1,1,1,0,1
42,0,1,0,1,1,0,1,1,1,1,0,1
38,0,1,0,1,1,0,1,1,1,0,0,1
29,0,1,0,0,1,0,1,1,1,1,0,1
80,2,1,0,0,1,0,1,1,1,1,0,1
51,0,1,0,1,1,0,1,1,1,1,0,1
39,0,1,0,0,1,0,1,1,1,1,0,1
167,5,1,0,0,1,0,1,1,1,0,0,1
99,2,1,1,0,4,0,1,1,1,0,1,1
105,4,1,0,0,1,0,1,1,1,0,0,1
29,0,0,0,0,0,0,1,1,1,1,0,1
97,2,1,0,0,1,0,1,1,1,1,0,1
83,0,1,0,0,1,0,1,1,1,0,0,1
33,0,1,0,1,1,0,1,1,1,0,0,1
39,0,1,0,1,1,0,1,1,1,1,0,1
80,2,1,0,0,1,0,1,1,1,0,0,1
65,3,1,0,0,2,1,1,1,1,0,1,1
175,5,1,0,0,1,0,1,1,1,0,0,1
41,0,0,0,0,1,0,1,1,1,1,0,1
94,2,1,0,1,1,0,1,1,1,1,0,1
24,1,1,0,0,1,0,1,1,1,0,0,1
