,domain,url_len,url_dep,httpDomain,tinyURL,hyphenURL,subURl,keyWordURL
396,bafybeiaw3l75b6kmx3eh3avc5cvrsksogrkpyu5mpxp7aiv32gz3t3m344.ipfs.cf-ipfs.com,106,1,1,0,1,2,0
397,allianceseksfr.firebaseapp.com,39,0,1,0,0,1,0
398,fleek.ipfs.io,86,2,1,0,0,1,0
399,docs.google.com,190,5,1,0,0,1,0
400,pub-ecfd66fe742646ddbea15f7c9799b3ee.r2.dev,62,1,1,0,1,2,0
401,id-thunder-3a75.ugtreceson.workers.dev,47,0,1,0,1,1,0
402,anti-roboter03.web.app,31,0,1,0,1,1,0
403,atkvfhdmmail.weebly.com,32,0,1,0,0,1,0
404,cloudflare-ipfs.com,92,2,1,0,1,1,0
405,pub-db30d326aa0140d68cfb4d76722b0617.r2.dev,62,1,1,0,1,2,0
406,kgyu8xfpad0r7irrwxnvbpvfunction.weebly.com,51,0,1,0,0,1,0
407,ch-328328328832.blogspot.com,37,0,1,1,1,1,0
408,bafybeiga27omd7a4ynaljurdobmbfc4nz7tb4k3k5uxjww2xzgkru57npm.ipfs.cf-ipfs.com,92,1,1,0,1,1,0
409,yahhaooservciteam.bifyibikke.workers.dev,49,0,1,0,0,1,0
410,smdc.co-jp.tmrdakg.cn,30,0,1,0,1,1,0
411,ususkoid.top,21,0,1,0,0,1,0
412,flowcode.com,39,2,1,0,0,1,0
413,pub-398b0c8af476483796182e1be661fbae.r2.dev,87,1,1,0,1,2,0
414,greenwoparlo.com,163,0,1,0,0,1,0
415,uspz.uspma.top,34,1,1,0,0,1,0
416,cebjiankb12.firebaseapp.com,36,0,1,0,0,1,0
417,cf-ipfs.com,85,3,1,0,1,2,0
